pitcher_diff,pitcher_season_diff,pitcher_recent_diff,offense_diff,bullpen_diff,pyth_diff,home_pitcher_combined,away_pitcher_combined,home_pitcher_season,away_pitcher_season,home_pitcher_recent,away_pitcher_recent,home_pitcher_ip,away_pitcher_ip,home_offense,away_offense,home_bullpen,away_bullpen,home_pyth,away_pyth,home_home_pct,away_road_pct,is_home,park_factor,home_p_vs_era,away_p_vs_era,home_p_vs_ip,away_p_vs_ip,game_id,date,away_team,home_team,venue,home_win,home_runs,away_runs
19.990000000000002,19.270000000000003,21.07,0.3100000000000023,11.419999999999995,0.1273332064469445,79.944,59.954,78.04,58.77,82.8,61.73,208.2,182.0,39.63,39.32,73.52,62.1,0.5491,0.4218,0.605,0.383,1,0.95,4.5,4.5,0.0,0.0,778547,2025-03-27,Athletics,Seattle Mariners,T-Mobile Park,1,4,2
18.154000000000003,9.71,30.820000000000007,-6.329999999999998,22.349999999999994,0.09521438186508235,66.254,48.1,60.99,51.28,74.15,43.33,130.0,113.1,32.65,38.98,71.52,49.17,0.4575,0.3622,0.519,0.296,1,1.0,4.5,4.5,0.0,0.0,778560,2025-03-28,Colorado Rockies,Tampa Bay Rays,George M. Steinbrenner Field,1,3,2
9.093999999999994,3.530000000000001,17.440000000000005,-11.829999999999998,-5.030000000000001,-0.09995919400984193,65.666,56.572,60.31,56.78,73.7,56.26,181.0,165.1,39.77,51.6,64.17,69.2,0.4535,0.5535,0.481,0.58,1,1.03,4.5,4.5,0.0,0.0,778549,2025-03-28,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,1,8,2
16.513999999999996,-3.3700000000000045,46.34,-2.0600000000000023,-6.43,-0.07631285341613508,67.258,50.744,56.33,59.7,83.65,37.31,8.0,178.0,33.64,35.7,58.29,64.72,0.3756,0.4519,0.37,0.457,1,0.97,4.5,4.5,0.0,0.0,778548,2025-03-28,Pittsburgh Pirates,Miami Marlins,loanDepot park,0,3,4
-23.911999999999992,-28.139999999999993,-17.57,-6.07,-0.14000000000000057,-0.037816950217333556,45.03,68.942,40.43,68.57,51.93,69.5,35.2,178.2,39.74,45.81,65.16,65.3,0.4646,0.5024,0.543,0.531,1,1.06,4.5,4.5,0.0,0.0,778550,2025-03-28,Boston Red Sox,Texas Rangers,Globe Life Field,1,4,1
1.6200000000000045,5.5,-4.199999999999989,-1.3299999999999983,2.529999999999987,0.01548188419390728,68.25,66.63,63.15,57.65,75.9,80.1,170.0,78.0,46.75,48.08,70.71,68.18,0.5597,0.5443,0.568,0.531,1,0.96,4.5,4.5,0.0,0.0,778518,2025-03-28,New York Mets,Houston Astros,Daikin Park,0,1,3
-7.910000000000004,-7.270000000000003,-8.870000000000005,13.82,-7.810000000000009,0.009867038760352664,63.704,71.614,58.32,65.59,71.78,80.65,73.2,165.1,57.07,43.25,60.23,68.04,0.5534,0.5436,0.543,0.481,1,1.03,4.5,4.5,0.0,0.0,778543,2025-03-28,Chicago Cubs,Arizona Diamondbacks,Chase Field,1,8,1
-4.7960000000000065,7.759999999999998,-23.630000000000003,0.3100000000000023,11.419999999999995,0.1273332064469445,62.194,66.99000000000001,64.63,56.87,58.54,82.17,175.1,33.0,39.63,39.32,73.52,62.1,0.5491,0.4218,0.605,0.383,1,0.95,4.5,4.5,0.0,0.0,778541,2025-03-28,Athletics,Seattle Mariners,T-Mobile Park,0,0,7
-9.927999999999997,-3.0999999999999943,-20.17,3.6700000000000017,-3.819999999999993,-0.009327652002306452,70.714,80.642,67.97,71.07,74.83,95.0,189.1,135.2,48.46,44.79,70.39,74.21,0.5581,0.5674,0.556,0.531,1,0.93,4.5,4.5,0.0,0.0,778542,2025-03-28,Atlanta Braves,San Diego Padres,Petco Park,1,4,3
3.901999999999987,-4.329999999999998,16.25,20.120000000000005,-2.549999999999997,0.06503592493332055,70.77199999999999,66.87,69.56,73.89,72.59,56.34,90.0,162.0,57.53,37.41,68.62,71.17,0.5927,0.5276,0.642,0.531,1,0.97,4.5,4.5,0.0,0.0,778544,2025-03-28,Detroit Tigers,Los Angeles Dodgers,Dodger Stadium,1,8,5
4.044000000000011,2.0799999999999983,6.989999999999995,10.21,-0.8900000000000006,0.0028755800571754753,74.30600000000001,70.262,67.31,65.23,84.8,77.81,174.1,174.1,56.86,46.65,71.34,72.23,0.59,0.5871,0.543,0.568,1,1.04,4.5,4.5,0.0,0.0,778538,2025-03-29,Milwaukee Brewers,New York Yankees,Yankee Stadium,1,20,9
-5.3940000000000055,-8.950000000000003,-0.060000000000002274,-9.360000000000003,-6.390000000000001,-0.10104459551670153,57.056,62.45,51.76,60.71,65.0,65.06,124.1,113.0,25.99,35.35,54.95,61.34,0.2965,0.3975,0.284,0.383,1,1.0,4.5,4.5,0.0,0.0,778534,2025-03-29,Los Angeles Angels,Chicago White Sox,Rate Field,0,0,1
